dataset,retriever,diffusion_alpha,hop,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations,topk_changed_rate,ordering_changed_rate
musique,sentence-transformers/all-MiniLM-L6-v2,0.1,3,0.0,0.0,0.0,0,0,0,0.03538928210313448,0.10920121334681497
musique,sentence-transformers/all-MiniLM-L6-v2,0.1,4,0.0,0.0,0.0,0,0,0,0.033367037411526794,0.10212335692618807
musique,sentence-transformers/all-MiniLM-L6-v2,0.1,5,0.0,0.003033367037411527,0.0,0,0,0,0.029322548028311426,0.09403437815975733
musique,sentence-transformers/all-MiniLM-L6-v2,0.2,1,0.0,0.0,0.0,0,0,0,0.0839231547017189,0.2558139534883721
musique,sentence-transformers/all-MiniLM-L6-v2,0.2,2,0.0,0.0,0.0,0,0,0,0.07280080889787664,0.20728008088978767
musique,sentence-transformers/all-MiniLM-L6-v2,0.2,3,0.0,0.0,0.0,0,0,0,0.04853387259858443,0.16481294236602628
musique,sentence-transformers/all-MiniLM-L6-v2,0.2,4,0.0,0.0,0.0,0,0,0,0.034378159757330634,0.134479271991911
musique,sentence-transformers/all-MiniLM-L6-v2,0.2,5,0.0,0.0020222446916076846,0.0,0,0,0,0.03943377148634985,0.11627906976744186
musique,sentence-transformers/all-MiniLM-L6-v2,0.4,1,0.0,0.0,0.0,0,0,0,0.1698685540950455,0.46511627906976744
musique,sentence-transformers/all-MiniLM-L6-v2,0.4,2,0.0,0.0,0.0,0,0,0,0.0859453993933266,0.29221435793731043
musique,sentence-transformers/all-MiniLM-L6-v2,0.4,3,0.0,0.0,0.0,0,0,0,0.07482305358948432,0.20728008088978767
musique,sentence-transformers/all-MiniLM-L6-v2,0.4,4,0.0,0.0,0.0,0,0,0,0.034378159757330634,0.1365015166835187
musique,sentence-transformers/all-MiniLM-L6-v2,0.4,5,0.0,0.005055611729019211,0.0,0,0,0,0.025278058645096056,0.0859453993933266
musique,sentence-transformers/all-MiniLM-L6-v2,0.6,1,0.0,0.0,0.0,0,0,0,0.24570273003033366,0.6167846309403437
musique,sentence-transformers/all-MiniLM-L6-v2,0.6,2,0.0,0.0,0.0,0,0,0,0.10212335692618807,0.32457027300303337
musique,sentence-transformers/all-MiniLM-L6-v2,0.6,3,0.0,0.0,0.0,0,0,0,0.044489383215369056,0.14964610717896865
musique,sentence-transformers/all-MiniLM-L6-v2,0.6,4,0.0020222446916076846,0.006066734074823054,0.0,0,0,0,0.020222446916076844,0.06066734074823053
musique,sentence-transformers/all-MiniLM-L6-v2,0.6,5,0.0020222446916076846,0.05358948432760364,0.0,0,0,0,0.011122345803842264,0.03842264914054601
musique,sentence-transformers/all-MiniLM-L6-v2,0.8,1,0.0,0.0,0.0,0,0,0,0.3316481294236603,0.7300303336703741
musique,sentence-transformers/all-MiniLM-L6-v2,0.8,2,0.0,0.0,0.0,0,0,0,0.11324570273003033,0.3306370070778564
musique,sentence-transformers/all-MiniLM-L6-v2,0.8,3,0.0,0.0,0.0,0,0,0,0.03538928210313448,0.10717896865520728
musique,sentence-transformers/all-MiniLM-L6-v2,0.8,4,0.004044489383215369,0.07785642062689585,0.0010111223458038423,0,0,0,0.01314459049544995,0.043478260869565216
musique,sentence-transformers/all-MiniLM-L6-v2,0.8,5,0.0788675429726997,0.5581395348837209,0.2032355915065723,0,0,0,0.0010111223458038423,0.005055611729019211
musique,intfloat/e5-small-v2,0.1,1,0.0,0.0,0.0,0,0,0,0.0980788675429727,0.30434782608695654
musique,intfloat/e5-small-v2,0.1,2,0.0,0.0,0.0,0,0,0,0.10212335692618807,0.34277047522750254
musique,intfloat/e5-small-v2,0.1,3,0.0,0.0,0.0,0,0,0,0.09302325581395349,0.2851365015166835
musique,intfloat/e5-small-v2,0.1,4,0.0,0.0,0.0,0,0,0,0.09504550050556117,0.30434782608695654
musique,intfloat/e5-small-v2,0.1,5,0.0,0.0,0.0,0,0,0,0.07684529828109202,0.2517694641051567
musique,intfloat/e5-small-v2,0.2,1,0.0,0.0,0.0,0,0,0,0.19817997977755308,0.5500505561172901
musique,intfloat/e5-small-v2,0.2,2,0.0,0.0,0.0,0,0,0,0.20525783619817997,0.5187057633973711
musique,intfloat/e5-small-v2,0.2,3,0.0,0.0,0.0,0,0,0,0.14661274014155712,0.4539939332659252
musique,intfloat/e5-small-v2,0.2,4,0.0,0.0,0.0,0,0,0,0.10920121334681497,0.3488372093023256
musique,intfloat/e5-small-v2,0.2,5,0.0,0.0,0.0,0,0,0,0.08796764408493428,0.29625884732052576
musique,intfloat/e5-small-v2,0.4,1,0.0,0.0,0.0,0,0,0,0.4206268958543984,0.8220424671385238
musique,intfloat/e5-small-v2,0.4,2,0.0,0.0,0.0,0,0,0,0.24974721941354905,0.6440849342770475
musique,intfloat/e5-small-v2,0.4,3,0.0,0.0,0.0,0,0,0,0.15166835187057634,0.448938321536906
musique,intfloat/e5-small-v2,0.4,4,0.0,0.0,0.0,0,0,0,0.07987866531850354,0.30535894843276035
musique,intfloat/e5-small-v2,0.4,5,0.0,0.0,0.0,0,0,0,0.05864509605662285,0.20930232558139536
musique,intfloat/e5-small-v2,0.6,1,0.0,0.0,0.0,0,0,0,0.5935288169868554,0.9251769464105156
musique,intfloat/e5-small-v2,0.6,2,0.0,0.0,0.0,0,0,0,0.23053589484327602,0.6188068756319515
musique,intfloat/e5-small-v2,0.6,3,0.0,0.0,0.0,0,0,0,0.11830131445904954,0.39838220424671383
musique,intfloat/e5-small-v2,0.6,4,0.0,0.0,0.0,0,0,0,0.0455005055611729,0.1789686552072801
musique,intfloat/e5-small-v2,0.6,5,0.0,0.0,0.0,0,0,0,0.025278058645096056,0.11830131445904954
musique,intfloat/e5-small-v2,0.8,1,0.0,0.0,0.0,0,0,0,0.7209302325581395,0.9716885743174924
musique,intfloat/e5-small-v2,0.8,2,0.0,0.0,0.0,0,0,0,0.2659251769464105,0.6693629929221436
musique,intfloat/e5-small-v2,0.8,3,0.0,0.0,0.0,0,0,0,0.08796764408493428,0.3063700707785642
musique,intfloat/e5-small-v2,0.8,4,0.0,0.0,0.0,0,0,0,0.023255813953488372,0.09201213346814964
musique,intfloat/e5-small-v2,0.8,5,0.0,0.14964610717896865,0.01820020222446916,0,0,0,0.005055611729019211,0.028311425682507583
musique,BAAI/bge-small-en-v1.5,0.1,1,0.0,0.0,0.0,0,0,0,0.06066734074823053,0.19312436804853386
musique,BAAI/bge-small-en-v1.5,0.1,2,0.0,0.0,0.0,0,0,0,0.044489383215369056,0.17492416582406473
musique,BAAI/bge-small-en-v1.5,0.1,3,0.0,0.0,0.0,0,0,0,0.056622851365015166,0.1678463094034378
musique,BAAI/bge-small-en-v1.5,0.1,4,0.0,0.0,0.0,0,0,0,0.03741152679474216,0.13346814964610718
musique,BAAI/bge-small-en-v1.5,0.1,5,0.0,0.0,0.0,0,0,0,0.05156723963599596,0.1557128412537917
musique,BAAI/bge-small-en-v1.5,0.2,1,0.0,0.0,0.0,0,0,0,0.11526794742163801,0.37209302325581395
musique,BAAI/bge-small-en-v1.5,0.2,2,0.0,0.0,0.0,0,0,0,0.0980788675429727,0.29120323559150657
musique,BAAI/bge-small-en-v1.5,0.2,3,0.0,0.0,0.0,0,0,0,0.08088978766430738,0.25480283114256824
musique,BAAI/bge-small-en-v1.5,0.2,4,0.0,0.0,0.0,0,0,0,0.06572295247724974,0.20222446916076844
musique,BAAI/bge-small-en-v1.5,0.2,5,0.0,0.0,0.0,0,0,0,0.06268958543983821,0.1911021233569262
musique,BAAI/bge-small-en-v1.5,0.4,1,0.0,0.0,0.0,0,0,0,0.2416582406471183,0.5904954499494439
musique,BAAI/bge-small-en-v1.5,0.4,2,0.0,0.0,0.0,0,0,0,0.14560161779575329,0.42264914054600605
musique,BAAI/bge-small-en-v1.5,0.4,3,0.0,0.0,0.0,0,0,0,0.08291203235591507,0.2537917087967644
musique,BAAI/bge-small-en-v1.5,0.4,4,0.0,0.0,0.0,0,0,0,0.05358948432760364,0.19716885743174925
musique,BAAI/bge-small-en-v1.5,0.4,5,0.0,0.0,0.0,0,0,0,0.046511627906976744,0.13549039433771487
musique,BAAI/bge-small-en-v1.5,0.6,1,0.0,0.0,0.0,0,0,0,0.35085945399393326,0.7340748230535895
musique,BAAI/bge-small-en-v1.5,0.6,2,0.0,0.0,0.0,0,0,0,0.13346814964610718,0.40950455005055614
musique,BAAI/bge-small-en-v1.5,0.6,3,0.0,0.0,0.0,0,0,0,0.06976744186046512,0.23255813953488372
musique,BAAI/bge-small-en-v1.5,0.6,4,0.0,0.0010111223458038423,0.0,0,0,0,0.030333670374115267,0.12841253791708795
musique,BAAI/bge-small-en-v1.5,0.6,5,0.0,0.007077856420626896,0.0,0,0,0,0.025278058645096056,0.0859453993933266
musique,BAAI/bge-small-en-v1.5,0.8,1,0.0,0.0,0.0,0,0,0,0.4539939332659252,0.8382204246713852
musique,BAAI/bge-small-en-v1.5,0.8,2,0.0,0.0,0.0,0,0,0,0.15369059656218403,0.4671385237613751
musique,BAAI/bge-small-en-v1.5,0.8,3,0.0,0.0,0.0,0,0,0,0.04853387259858443,0.17492416582406473
musique,BAAI/bge-small-en-v1.5,0.8,4,0.0,0.011122345803842264,0.0,0,0,0,0.014155712841253791,0.04853387259858443
