dataset,retriever,diffusion_alpha,hop,lambda2,ndcg_at_5,f1_at_5,recall_at_5,param_change_norm,param_disagreement,topk_margin,score_bound,pairwise_gap,rank_gap,empirical_score_delta,empirical_to_bound_ratio,bound_holds_rate,global_certificate_rate,pairwise_certificate_rate,ordered_certificate_rate,topk_changed_rate,ordering_changed_rate,global_certificate_violations,pairwise_certificate_violations,ordered_certificate_violations
musique,BAAI/bge-small-en-v1.5,0.4,2,0.37580864591644947,0.7685901247273563,0.46275699359622513,0.8245702730030333,1.783431052926963,17.999004857301554,1.5575541312099106,40.44919072452523,-72.9055066273802,-72.85549327553275,1.631654791451079,0.04034757936156479,1.0,0.0,0.0,0.0,0.14560161779575329,0.42264914054600605,0,0,0
musique,BAAI/bge-small-en-v1.5,0.4,3,0.3748329237110384,0.7702750943579736,0.4642014540902306,0.8270980788675429,0.9996487842845754,7.582308444213453,1.5009950824887976,22.571135556731427,-37.86243802757814,-37.957039177403615,0.6721323474232179,0.029793787083709715,1.0,0.0,0.0,0.0,0.08291203235591507,0.2537917087967644,0,0,0
musique,BAAI/bge-small-en-v1.5,0.4,4,0.22599673435432527,0.7721434596106035,0.46545331985170196,0.8301314459049545,0.6401347742263483,3.7124470184066674,1.4907498605571936,14.719633066839283,-24.05047260130984,-24.11494958505667,0.37276905588240666,0.02533788237525126,1.0,0.0,0.0,0.0,0.05358948432760364,0.19716885743174925,0,0,0
musique,BAAI/bge-small-en-v1.5,0.4,5,0.16432504245336513,0.7729770903024156,0.46574221195050314,0.8306370070778564,0.3974671830355438,2.0964018552362687,1.4883283821468527,9.847026134123631,-14.483707664409565,-14.736274552653606,0.2318042218986488,0.023541714329441688,1.0,0.0,0.0,0.0,0.046511627906976744,0.13549039433771487,0,0,0
musique,BAAI/bge-small-en-v1.5,0.6,1,0.47800837686328956,0.7677841113587924,0.46333477779382737,0.8255813953488372,5.310685522989507,53.08282101262521,1.7165520169496296,139.76118224422385,-268.72099115225274,-269.6863770939428,6.2693492438120595,0.04485011103566484,1.0,0.0,0.0,0.0,0.35085945399393326,0.7340748230535895,0,0,0
musique,BAAI/bge-small-en-v1.5,0.6,2,0.37524982071290613,0.7719098473209984,0.4654051711685685,0.8296258847320526,1.6590301425260214,9.445890185129517,1.5088017042293105,42.01655294045641,-73.44548041398599,-69.54529738987206,1.1811984383300533,0.028115254558043666,1.0,0.0,0.0,0.0,0.13346814964610718,0.40950455005055614,0,0,0
musique,BAAI/bge-small-en-v1.5,0.6,3,0.1610486707337727,0.7725220279298987,0.46545331985170196,0.8301314459049545,0.7575559840711574,2.9564720972259613,1.488958921904993,19.84886675013525,-32.19050566065451,-30.680885081868738,0.4679305845131406,0.02358761240606709,1.0,0.0,0.0,0.0,0.06976744186046512,0.23255813953488372,0,0,0
musique,BAAI/bge-small-en-v1.5,0.6,4,0.10249458504329075,0.7733163242524596,0.46574221195050314,0.8306370070778564,0.3505715279139882,1.440456152088569,1.4908644171889318,9.879499991053445,-13.805026927574813,-13.655321033807951,0.22114489220753236,0.022402353637473796,1.0,0.0,0.0010111223458038423,0.0,0.030333670374115267,0.12841253791708795,0,0,0
musique,BAAI/bge-small-en-v1.5,0.6,5,0.12414007867859937,0.7731282666409273,0.4666088882469064,0.8321536905965622,0.20484295976921355,1.0164439934006162,1.4978778364684873,10.606223399884023,-9.113334593678463,-8.430954369486834,0.1878145794535792,0.017760046567190033,1.0,0.0,0.007077856420626896,0.0,0.025278058645096056,0.0859453993933266,0,0,0
musique,BAAI/bge-small-en-v1.5,0.8,1,0.4780083768632891,0.770904812577972,0.4654051711685685,0.8296258847320526,7.0809140306526785,53.08282101262521,1.7165520169496296,195.3670654753085,-377.60157680545785,-377.73346769398916,7.008897283802861,0.03587506900802666,1.0,0.0,0.0,0.0,0.4539939332659252,0.8382204246713852,0,0,0
musique,BAAI/bge-small-en-v1.5,0.8,2,0.30405602104574786,0.7713948562796615,0.465453319851702,0.8301314459049545,1.815167161118363,6.885304449950674,1.5068160443744718,53.69574071167117,-87.00242109777442,-78.45185307631151,1.1678165188934975,0.021754060766962954,1.0,0.0,0.0,0.0,0.15369059656218403,0.4671385237613751,0,0,0
musique,BAAI/bge-small-en-v1.5,0.8,3,0.056451324767715895,0.7730046811217575,0.46574221195050314,0.8306370070778564,0.5572686011282213,1.6847722791818238,1.491844161817591,15.06339893810565,-23.050545344774754,-22.46451181899753,0.3347102301185847,0.022247744009267132,1.0,0.0,0.0,0.0,0.04853387259858443,0.17492416582406473,0,0,0
musique,BAAI/bge-small-en-v1.5,0.8,4,0.0,0.7726675284360286,0.465453319851702,0.8301314459049545,0.16993263523712432,1.06956300732668,1.4983601546022358,7.629625507592485,-7.342696164187381,-7.185689560746468,0.13735131667766823,0.01805803998813036,1.0,0.0,0.011122345803842264,0.0,0.014155712841253791,0.04853387259858443,0,0,0
musique,BAAI/bge-small-en-v1.5,0.8,5,0.0,0.7730177011477213,0.465453319851702,0.8301314459049545,0.03968213237346665,0.9912348287100545,1.5004829873450485,2.907170064023307,-0.6222277489580077,-1.3805678411539797,0.05242927443270013,0.018042700218303218,1.0,0.010111223458038422,0.36299292214357937,0.0859453993933266,0.0010111223458038423,0.023255813953488372,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.1,1,0.47800837686328945,0.6043970458183461,0.43314555346911265,0.6817492416582407,0.8851142538315845,53.08282101262521,0.7489278069099353,6.476519187377762,-9.377466568074526,-10.473750845043455,0.3372672327367553,0.05274868509369197,1.0,0.0,0.0,0.0,0.03943377148634985,0.14964610717896865,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.1,2,0.4454626366689419,0.6055088348416774,0.43359494117835873,0.6822548028311426,0.7714294596840213,42.06466862242185,0.7278399256833041,5.430034002000262,-7.680092617268918,-8.701001176200418,0.26585487167080685,0.04959053254785174,1.0,0.0,0.0,0.0,0.03842264914054601,0.13346814964610718,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.1,3,0.4449354429881261,0.6053740096081273,0.4337554367888038,0.6822548028311426,0.6726572245506683,33.554816521190716,0.713484386763751,4.576018108146401,-6.30909730966228,-7.252462080685109,0.2104078253431677,0.04657170704344752,1.0,0.0,0.0,0.0,0.03741152679474216,0.12234580384226491,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.1,4,0.44457433193656326,0.6058676742256467,0.4331776525912016,0.6812436804853387,0.5882866050309427,26.95619210606636,0.7023962796397349,3.8882765689357197,-5.212396007544633,-6.090685600565429,0.16800857506338338,0.04376066206981063,1.0,0.0,0.0010111223458038423,0.0,0.033367037411526794,0.1051567239635996,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.1,5,0.444338626015927,0.6069934594270451,0.43404432888760486,0.6827603640040445,0.5160910099263232,21.804346958136772,0.693650845178338,3.330016081193598,-4.327554837445889,-5.143445307199303,0.13534871114397193,0.04116342498982108,1.0,0.0,0.0020222446916076846,0.0,0.027300303336703743,0.08493427704752275,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.2,1,0.47800837686328956,0.6043214040426818,0.43243937278315436,0.6802325581395349,1.770228507663169,53.08282101262521,0.7489278069099353,13.309410670659874,-21.00696262713295,-22.26193847999045,0.6353103605874026,0.048347008338563965,1.0,0.0,0.0,0.0,0.0859453993933266,0.2730030333670374,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.2,2,0.44545505205402103,0.6057508085279433,0.43311345434702353,0.6809908998988877,1.3192744345041354,32.54464846646679,0.7118041977000068,9.151210797178232,-13.872167237235855,-15.068779641002255,0.38707569750784865,0.04283987610064594,1.0,0.0,0.0,0.0,0.06572295247724974,0.22345803842264914,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.2,3,0.4445626484971475,0.6071464163578003,0.434269022742228,0.6830131445904954,0.9928851598238264,20.63174627892099,0.691765242507653,6.502806081692147,-9.440275068171308,-10.479846206750096,0.24370293308678484,0.03795893827981317,1.0,0.0,0.0,0.0,0.046511627906976744,0.16481294236602628,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.2,4,0.4442167628190868,0.6094182365462685,0.4358739788466785,0.6855409504550051,0.7598042220040806,13.52176010387736,0.6807695142359776,4.804962934073749,-6.629084666937621,-7.543422797019948,0.15972541807515073,0.03369056267056918,1.0,0.0,0.0,0.0,0.03842264914054601,0.1385237613751264,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.2,5,0.4441562879625519,0.6082495549296687,0.43571348323623343,0.6855409504550051,0.5911783364848587,9.123333632235985,0.6742973593416783,3.674355731095486,-4.786003719991863,-5.599674971096028,0.10882075923458269,0.030046377892267603,1.0,0.0,0.0010111223458038423,0.0,0.032355915065722954,0.11526794742163801,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.4,1,0.4780083768632899,0.6071870963843269,0.434557914841029,0.6835187057633973,3.5404570153263393,53.08282101262521,0.7489278069099353,28.04431052493711,-47.19203177785899,-47.911915144506686,1.1163595515567926,0.04031130064633864,1.0,0.0,0.0,0.0,0.17087967644084934,0.46107178968655205,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.4,2,0.3758086459164495,0.6081443528954763,0.4357776814804115,0.685793731041456,1.783431052926963,17.999004857301554,0.6881030982075856,12.065738948174499,-18.821795451632163,-19.790587006446387,0.3830236186573792,0.0321968578562684,1.0,0.0,0.0,0.0,0.08190091001011122,0.2982810920121335,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.4,3,0.3748329237110379,0.6080770897006738,0.4351998972828093,0.6847826086956522,0.9996487842845754,7.582308444213453,0.6725288182346355,6.490920906647357,-9.175868650722041,-10.067132370155191,0.16642181841229042,0.026025354608357698,1.0,0.0,0.0,0.0,0.04954499494438827,0.17593528816986856,0,0,0
2wikimultihopqa,sentence-transformers/all-MiniLM-L6-v2,0.4,4,0.2259967343543251,0.6075101083200077,0.4349752034281862,0.6845298281092013,0.6401347742263483,3.7124470184066674,0.6684892408105312,4.318341568315514,-5.5192755649004415,-6.240308042583649,0.09389554402584735,0.02201409005222124,1.0,0.0,0.0010111223458038423,0.0,0.03842264914054601,0.1365015166835187,0,0,0
